company_id,Registration Number,Full Name,Registration Date,State,Registered Address
C 107310,C 107310,Kindred Malta Limited,21-12-2023,Active,"['LEVEL 6 THE CENTRE', ""IL-PONTA TA' TIGNE'"", 'SLIEMA', 'TPO 0001', 'Malta']"
C 107311,C 107311,Content Ventures Limited,19-12-2023,Active,"['36', 'TRIQ G.P.F. AGIUS DE SOLDANIS', 'RABAT, GHAWDEX', 'VCT 1034', 'Malta']"
C 107312,C 107312,PERPETUUM CAPITAL HOLDING Ltd.,27-12-2023,Active,"['LEVEL 2 THE FORUM', 'TRIQ IL- KOSTITUZZJONI', 'MOSTA', 'MST 9051', 'Malta']"
C 107313,C 107313,Umbria Holding LTD.,27-12-2023,Active,"['KINGSWAY PALACE 4TH FLOOR – FLAT 20', 'TRIQ IR- REPUBBLIKA', 'VALLETTA', 'VLT 1115', 'Malta']"
C 107314,C 107314,TREVI HOLDING LTD.,20-12-2023,Active,"['KINGSWAY PALACE 4TH FLOOR FLAT 20', 'TRIQ IR- REPUBBLIKA', 'VALLETTA', 'VLT 1115', 'Malta']"
C 107315,C 107315,PPO Invest Holding Ltd.,27-12-2023,Active,"['SOHO THE STRAND FAWWARA BUILDING', 'TRIQ L- IMSIDA', 'GZIRA', 'GZR 1401', 'Malta']"
C 107316,C 107316,Steele Industries Ltd.,27-12-2023,Active,"['NORTHLINK BUSINESS CENTRE LEVEL 2', 'TRIQ BURMARRAD', 'NAXXAR', 'NXR 6345', 'Malta']"
C 107317,C 107317,Zaminox Holding Limited,21-12-2023,Active,"['024A TRIQ GARIBALDI', 'QASAM INDUSTRIJALI', 'MARSA', 'MRS 3000', 'Malta']"
C 107318,C 107318,JINstruct Properties Limited,27-12-2023,Active,"['123 SEPTEMBER ROSE', 'TRIQ L- ASSEDJU L-KBIR 1565', 'MELLIEHA', 'MLH 1908', 'Malta']"
C 107319,C 107319,Metal HUB Limited,21-12-2023,Active,"['024A TRIQ GARIBALDI', 'QASAM INDUSTRIJALI', 'MARSA', 'MRS 3000', 'Malta']"
C 107320,C 107320,Famtree Group Ltd.,27-12-2023,Active,"['86A', 'TRIQ LELI FALZON', 'NAXXAR', 'NXR 2609', 'Malta']"
C 107321,C 107321,Azure Harbour Holdings Ltd.,27-12-2023,Active,"['86A', 'TRIQ LELI FALZON', 'NAXXAR', 'NXR 2609', 'Malta']"
C 107322,C 107322,MATTERHORN INVESTMENTS LTD.,19-12-2023,Active,"['EDEN BUSINESS CENTRE', 'TRIQ ELIJA ZAMMIT', 'SAN GILJAN', 'STJ 3152', 'Malta']"
C 107323,C 107323,JQ Real Estate Limited,27-12-2023,Active,"['AVENUE 77 BUSINESS CENTRE ZONE 3', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 3010', 'Malta']"
C 107324,C 107324,INSTITUTE TADDEUS LIMITED,27-12-2023,Active,"['OFFICE 5 THE WHISPERS', 'TRIQ ROSS', 'SAN GILJAN', 'STJ 3109', 'Malta']"
C 107325,C 107325,Umbria Trading LTD.,27-12-2023,Active,"['KINGSWAY PALACE 4TH FLOOR – FLAT 20', 'TRIQ IR- REPUBBLIKA', 'VALLETTA', 'VLT 1115', 'Malta']"
C 107326,C 107326,BYA Capital Limited,20-12-2023,Active,"['THE WATERCOURSE CENTRAL BUSINESS DISTRICT-ZONE 2', 'Triq l- Imdina', 'BIRKIRKARA', 'CBD 2010', 'Malta']"
C 107327,C 107327,RNA Global Limited,28-12-2023,Active,"['97', 'TRIQ WINDSOR', 'SLIEMA', 'SLM 1853', 'Malta']"
C 107328,C 107328,Bookit Ltd.,28-12-2023,Active,"['CINZIA BUILDINGS NO 02', ""TRIQ GUZE' ORLANDO"", 'BIRKIRKARA', 'BKR 1751', 'Malta']"
C 107329,C 107329,Walk.mt Limited,28-12-2023,Active,"['225', ""TRIQ TA' XMIEXI"", 'MSIDA', 'MSD 1807', 'Malta']"
C 107330,C 107330,Collective Holdings LIMITED,28-12-2023,Active,"['ROOM 4 OFFICE 18 BLOCK 19 VINCENTI BUILDINGS', 'TRIQ ID- DEJQA', 'VALLETTA', 'VLT 1432', 'Malta']"
C 107331,C 107331,Payoptima Ltd.,28-12-2023,Active,"['7 RUMMIENA', 'SQAQ IL- VITORJA', 'BIRKIRKARA', 'BKR 2620', 'Malta']"
C 107332,C 107332,ST Group Investments LTD.,28-12-2023,Active,"['143 THE STRAND', 'TRIQ IX- XATT', 'GZIRA', 'GZR 1025', 'Malta']"
C 107333,C 107333,IMPITRADE LTD.,28-12-2023,Active,"['ROOM 4 OFFICE 18 BLOCK 19 VINCENTI BUILDINGS', 'TRIQ ID- DEJQA', 'VALLETTA', 'VLT 1432', 'Malta']"
C 107334,C 107334,CLM Rentals Ltd.,29-12-2023,Active,"['7 SEABREEZE TERRACES', 'TRIQ RADDET IR-ROTI', 'SAN PAWL IL-BAHAR', 'SPB 4114', 'Malta']"
C 107335,C 107335,RemEX Technologies Limited,21-12-2023,Active,"['INTERNATIONAL HOUSE MRIEHEL', 'Triq l- Imdina', 'BIRKIRKARA', 'BKR 3000', 'Malta']"
C 107336,C 107336,Heavy Steel Limited,28-12-2023,Active,"['B2 5 ZONE 5 CENTRAL BUSINESS DISTRICT', 'TRIQ L- INDUSTRIJA', 'QORMI', 'CBD 5030', 'Malta']"
C 107337,C 107337,Season Lab Limited,11/12/2023,Active,"['123', 'TRIQ MELITA', 'VALLETTA', 'VLT 1123', 'Malta']"
C 107338,C 107338,Edds & Co. Ltd.,20-12-2023,Active,"['201 WINDMILL APARTMENTS FLAT 1', 'TRIQ IN- NAXXAR', 'BIRKIRKARA', 'BKR 9064', 'Malta']"
C 107339,C 107339,Stamina Energy Ltd.,28-12-2023,Active,"['OFFICE 4 BLOCK C SKYWAY OFFICES 179', 'TRIQ IX- XATT', 'PIETA', 'PTA 9042', 'Malta']"
C 107340,C 107340,Payfuture FS MT Ltd.,28-12-2023,Active,"['30/1 KENILWORTH COURT', 'TRIQ SIR AUGUSTUS BARTOLO', 'TA XBIEX', 'XBX 1093', 'Malta']"
C 107343,C 107343,OmniMedia Holding Limited,22-12-2023,Active,"['ELITE BUSINESS CENTRE', ""TREJQA TA' BOXBOX"", 'MSIDA', 'MSD 1840', 'Malta']"
C 107344,C 107344,Tavale Limited,29-12-2023,Active,"['SEALINE CRT BLK B FL 7', 'TRIQ SAN LUQA', 'SAN PAWL IL-BAHAR', 'SPB 0000', 'Malta']"
C 107345,C 107345,ATTARD & CO FOOD HOLDCO LIMITED,21-12-2023,Active,"['CANTER BUSINESS CENTRE', 'TRIQ PATRI FELICJAN BILOCCA', 'MARSA', 'MRS 1524', 'Malta']"
C 107346,C 107346,TREVI TRADING LTD.,20-12-2023,Active,"['KINGSWAY PALACE 4TH FLOOR FLAT 20', 'TRIQ IR- REPUBBLIKA', 'VALLETTA', 'VLT 1115', 'Malta']"
C 107347,C 107347,Kinami Limited,29-12-2023,Active,"['ROOM 4 OFFICE 18 BLOCK 19 VINCENTI BUILDINGS', 'TRIQ ID- DEJQA', 'VALLETTA', 'VLT 1432', 'Malta']"
C 107349,C 107349,Diemme Services Limited,29-12-2023,Active,"['QUAD CENTRAL Q3 LEVEL 1', 'CENTRAL BUSINESS DISTRICT', 'BIRKIRKARA', 'CBD 1040', 'Malta']"
C 107350,C 107350,Rebirth your Essence Holdings Ltd.,29-12-2023,Active,"['86', 'TRIQ IL- MERKANTI', 'VALLETTA', 'VLT 1177', 'Malta']"
